D,C,NumBur,nTour,ELECTION,Inscrits,Votants,Exprime,_NAME_,_LABEL_,BAYR,BESA,BOVE,BUFF,LAGU,LEPE,NIHO,ROYA,SARK,SCHI,VILL,VOYN,Inscrits2,Votants2,Exprime2,ROYA2,SARK2,abstention,abstention2,LIBGEO,REG,DEP,TAU2010,POP_MUN_2008,Pctabstention,PctBAYR,PctBESA,PctBOVE,PctBUFF,PctLAGU,PctLEPE,PctNIHO,PctROYA,PctSARK,PctSCHI,PctVILL,PctVOYN,Pctabstention2,PctSARK2,PctROYA2,IDENT,Strate
SUD-EST,001,0001,2,Pres2007,596,528,522,nbVoix,Nombre de voix,103,14,5,3,6,62,12,98,188,1,20,10,596,534,512,197,315,68,62,L'Abergement-Clémenciat,82,01,0,791,0.1140939597,0.1973180077,0.0268199234,0.0095785441,0.0057471264,0.0114942529,0.1187739464,0.0229885057,0.1877394636,0.3601532567,0.0019157088,0.0383141762,0.0191570881,0.1040268456,0.615234375,0.384765625,010010001,5
SUD-EST,002,0001,2,Pres2007,205,176,171,nbVoix,Nombre de voix,33,6,0,1,3,23,3,40,48,1,9,4,205,183,178,76,102,29,22,L'Abergement-de-Varey,82,01,9,194,0.1414634146,0.1929824561,0.0350877193,0,0.0058479532,0.0175438596,0.134502924,0.0175438596,0.2339181287,0.2807017544,0.0058479532,0.0526315789,0.0233918129,0.1073170732,0.5730337079,0.4269662921,010020001,5
SUD-EST,004,0001,2,Pres2007,1077,869,856,nbVoix,Nombre de voix,130,43,5,16,14,107,5,244,256,6,17,13,1077,853,810,394,416,208,224,Ambérieu-en-Bugey,82,01,9,12792,0.1931290622,0.1518691589,0.0502336449,0.0058411215,0.0186915888,0.0163551402,0.125,0.0058411215,0.285046729,0.2990654206,0.0070093458,0.0198598131,0.0151869159,0.2079851439,0.5135802469,0.4864197531,010040001,4
SUD-EST,004,0002,2,Pres2007,912,741,732,nbVoix,Nombre de voix,129,36,9,14,15,100,5,173,224,1,22,4,912,726,699,320,379,171,186,Ambérieu-en-Bugey,82,01,9,12792,0.1875,0.1762295082,0.0491803279,0.012295082,0.0191256831,0.0204918033,0.1366120219,0.0068306011,0.2363387978,0.306010929,0.0013661202,0.0300546448,0.0054644809,0.2039473684,0.5422031474,0.4577968526,010040002,5
SUD-EST,004,0003,2,Pres2007,954,791,777,nbVoix,Nombre de voix,140,32,7,21,6,102,7,185,240,4,25,8,954,773,733,335,398,163,181,Ambérieu-en-Bugey,82,01,9,12792,0.1708595388,0.1801801802,0.0411840412,0.009009009,0.027027027,0.0077220077,0.1312741313,0.009009009,0.2380952381,0.3088803089,0.0051480051,0.0321750322,0.0102960103,0.1897274633,0.5429740791,0.4570259209,010040003,5
SUD-EST,004,0004,2,Pres2007,953,749,743,nbVoix,Nombre de voix,142,39,7,19,11,96,5,170,227,2,15,10,953,743,716,332,384,204,210,Ambérieu-en-Bugey,82,01,9,12792,0.2140608604,0.1911170929,0.0524899058,0.0094212651,0.0255720054,0.0148048452,0.1292059219,0.0067294751,0.2288021534,0.3055181696,0.00269179,0.0201884253,0.0134589502,0.2203567681,0.5363128492,0.4636871508,010040004,5
SUD-EST,004,0005,2,Pres2007,1115,869,851,nbVoix,Nombre de voix,143,65,9,28,12,117,4,239,196,2,23,13,1116,832,777,432,345,246,284,Ambérieu-en-Bugey,82,01,9,12792,0.2206278027,0.1680376028,0.0763807286,0.0105757932,0.0329024677,0.0141010576,0.1374853114,0.0047003525,0.2808460635,0.2303172738,0.0023501763,0.027027027,0.0152761457,0.2544802867,0.444015444,0.555984556,010040005,4
SUD-EST,004,0006,2,Pres2007,1067,890,880,nbVoix,Nombre de voix,172,41,12,16,4,113,14,223,237,2,25,21,1068,865,811,392,419,177,203,Ambérieu-en-Bugey,82,01,9,12792,0.1658856607,0.1954545455,0.0465909091,0.0136363636,0.0181818182,0.0045454545,0.1284090909,0.0159090909,0.2534090909,0.2693181818,0.0022727273,0.0284090909,0.0238636364,0.1900749064,0.5166461159,0.4833538841,010040006,3
SUD-EST,004,0007,2,Pres2007,980,802,793,nbVoix,Nombre de voix,153,29,5,19,14,78,9,216,240,1,15,14,980,775,740,353,387,178,205,Ambérieu-en-Bugey,82,01,9,12792,0.1816326531,0.1929382093,0.0365699874,0.0063051702,0.0239596469,0.0176544767,0.0983606557,0.0113493064,0.2723833544,0.3026481715,0.001261034,0.0189155107,0.0176544767,0.2091836735,0.522972973,0.477027027,010040007,5
SUD-EST,004,0008,2,Pres2007,1048,868,858,nbVoix,Nombre de voix,158,38,13,19,20,107,8,191,251,3,37,13,1048,844,803,360,443,180,204,Ambérieu-en-Bugey,82,01,9,12792,0.1717557252,0.1841491841,0.0442890443,0.0151515152,0.0221445221,0.0233100233,0.1247086247,0.0093240093,0.2226107226,0.2925407925,0.0034965035,0.0431235431,0.0151515152,0.1946564885,0.5516811955,0.4483188045,010040008,5
SUD-EST,005,0001,2,Pres2007,1051,915,901,nbVoix,Nombre de voix,168,30,11,6,14,134,42,149,316,4,13,14,1051,894,859,309,550,136,157,Ambérieux-en-Dombes,82,01,9,1567,0.1294005709,0.1864594895,0.0332963374,0.012208657,0.0066592675,0.0155382908,0.1487236404,0.0466148724,0.1653718091,0.3507214206,0.0044395117,0.0144284129,0.0155382908,0.1493815414,0.6402793946,0.3597206054,010050001,5
SUD-EST,006,0001,2,Pres2007,112,100,99,nbVoix,Nombre de voix,13,6,3,1,2,16,2,26,27,2,1,0,112,97,97,43,54,12,15,Ambléon,82,01,0,123,0.1071428571,0.1313131313,0.0606060606,0.0303030303,0.0101010101,0.0202020202,0.1616161616,0.0202020202,0.2626262626,0.2727272727,0.0202020202,0.0101010101,0,0.1339285714,0.5567010309,0.4432989691,010060001,4
SUD-EST,007,0001,2,Pres2007,851,765,756,nbVoix,Nombre de voix,140,26,9,18,11,108,10,169,221,2,26,16,850,744,715,297,418,86,106,Ambronay,82,01,9,2296,0.1010575793,0.1851851852,0.0343915344,0.0119047619,0.0238095238,0.0145502646,0.1428571429,0.0132275132,0.2235449735,0.2923280423,0.0026455026,0.0343915344,0.0211640212,0.1247058824,0.5846153846,0.4153846154,010070001,5
SUD-EST,007,0002,2,Pres2007,763,669,650,nbVoix,Nombre de voix,101,25,7,13,12,133,7,144,169,7,23,9,763,659,624,271,353,94,104,Ambronay,82,01,9,2296,0.123197903,0.1553846154,0.0384615385,0.0107692308,0.02,0.0184615385,0.2046153846,0.0107692308,0.2215384615,0.26,0.0107692308,0.0353846154,0.0138461538,0.1363040629,0.5657051282,0.4342948718,010070002,4
SUD-EST,008,0001,2,Pres2007,491,453,450,nbVoix,Nombre de voix,87,26,5,6,14,66,5,106,121,1,6,7,491,436,413,202,211,38,55,Ambutrix,82,01,9,657,0.0773930754,0.1933333333,0.0577777778,0.0111111111,0.0133333333,0.0311111111,0.1466666667,0.0111111111,0.2355555556,0.2688888889,0.0022222222,0.0133333333,0.0155555556,0.1120162933,0.5108958838,0.4891041162,010080001,4
SUD-EST,009,0001,2,Pres2007,265,235,231,nbVoix,Nombre de voix,44,11,2,8,4,21,3,43,83,0,6,6,265,231,219,90,129,30,34,Andert-et-Condon,82,01,2,331,0.1132075472,0.1904761905,0.0476190476,0.0086580087,0.0346320346,0.0173160173,0.0909090909,0.012987013,0.1861471861,0.3593073593,0,0.025974026,0.025974026,0.1283018868,0.5890410959,0.4109589041,010090001,5
SUD-EST,010,0001,2,Pres2007,587,524,517,nbVoix,Nombre de voix,98,27,12,4,5,87,4,132,126,3,14,5,587,516,492,222,270,63,71,Anglefort,82,01,0,926,0.1073253833,0.1895551257,0.0522243714,0.0232108317,0.0077369439,0.0096711799,0.16827853,0.0077369439,0.2553191489,0.2437137331,0.0058027079,0.0270793037,0.0096711799,0.1209540034,0.5487804878,0.4512195122,010100001,6
SUD-EST,011,0001,2,Pres2007,255,224,223,nbVoix,Nombre de voix,50,3,2,5,4,23,6,29,85,3,10,3,256,221,211,57,154,31,35,Apremont,82,01,5,339,0.1215686275,0.2242152466,0.0134529148,0.0089686099,0.0224215247,0.0179372197,0.1031390135,0.0269058296,0.130044843,0.3811659193,0.0134529148,0.0448430493,0.0134529148,0.13671875,0.7298578199,0.2701421801,010110001,6
SUD-EST,012,0001,2,Pres2007,278,237,234,nbVoix,Nombre de voix,39,9,10,10,5,33,5,44,66,2,5,6,278,232,218,95,123,41,46,Aranc,82,01,0,285,0.1474820144,0.1666666667,0.0384615385,0.0427350427,0.0427350427,0.0213675214,0.141025641,0.0213675214,0.188034188,0.2820512821,0.0085470085,0.0213675214,0.0256410256,0.1654676259,0.5642201835,0.4357798165,010120001,5
SUD-EST,013,0001,2,Pres2007,153,129,129,nbVoix,Nombre de voix,23,0,0,0,0,25,2,28,48,0,3,0,153,138,126,45,81,24,15,Arandas,82,01,9,164,0.1568627451,0.1782945736,0,0,0,0,0.1937984496,0.015503876,0.2170542636,0.3720930233,0,0.023255814,0,0.0980392157,0.6428571429,0.3571428571,010130001,6
SUD-EST,014,0001,2,Pres2007,965,804,796,nbVoix,Nombre de voix,130,24,9,12,13,89,3,229,258,1,21,7,965,798,758,343,415,161,167,Arbent,82,01,5,3433,0.1668393782,0.1633165829,0.0301507538,0.0113065327,0.0150753769,0.0163316583,0.1118090452,0.0037688442,0.2876884422,0.324120603,0.0012562814,0.0263819095,0.0087939698,0.1730569948,0.5474934037,0.4525065963,010140001,1
SUD-EST,014,0002,2,Pres2007,1042,950,936,nbVoix,Nombre de voix,174,24,8,11,7,129,6,218,318,6,23,12,1042,915,883,345,538,92,127,Arbent,82,01,5,3433,0.0882917466,0.1858974359,0.0256410256,0.0085470085,0.0117521368,0.0074786325,0.1378205128,0.0064102564,0.2329059829,0.3397435897,0.0064102564,0.0245726496,0.0128205128,0.1218809981,0.6092865232,0.3907134768,010140002,5
SUD-EST,015,0001,2,Pres2007,401,345,341,nbVoix,Nombre de voix,110,11,6,3,4,36,5,54,109,0,1,2,401,341,324,137,187,56,60,Arbignieu,82,01,2,473,0.1396508728,0.3225806452,0.0322580645,0.0175953079,0.008797654,0.0117302053,0.1055718475,0.0146627566,0.1583577713,0.3196480938,0,0.0029325513,0.0058651026,0.1496259352,0.5771604938,0.4228395062,010150001,6
SUD-EST,016,0001,2,Pres2007,272,218,217,nbVoix,Nombre de voix,42,11,5,3,3,29,3,43,67,1,7,3,272,230,219,81,138,54,42,Arbigny,82,01,0,368,0.1985294118,0.1935483871,0.0506912442,0.0230414747,0.0138248848,0.0138248848,0.133640553,0.0138248848,0.198156682,0.3087557604,0.0046082949,0.0322580645,0.0138248848,0.1544117647,0.6301369863,0.3698630137,010160001,5
SUD-EST,017,0001,2,Pres2007,307,265,262,nbVoix,Nombre de voix,50,20,5,5,4,47,6,51,70,0,4,0,307,261,238,105,133,42,46,Argis,82,01,9,421,0.1368078176,0.1908396947,0.0763358779,0.0190839695,0.0190839695,0.0152671756,0.179389313,0.0229007634,0.1946564885,0.2671755725,0,0.0152671756,0,0.1498371336,0.5588235294,0.4411764706,010170001,6
SUD-EST,019,0001,2,Pres2007,36,36,34,nbVoix,Nombre de voix,5,0,0,0,0,5,4,13,5,0,2,0,36,35,33,17,16,0,1,Armix,82,01,0,23,0,0.1470588235,0,0,0,0,0.1470588235,0.1176470588,0.3823529412,0.1470588235,0,0.0588235294,0,0.0277777778,0.4848484848,0.5151515152,010190001,6
SUD-EST,021,0001,2,Pres2007,812,740,731,nbVoix,Nombre de voix,155,10,5,8,10,84,6,109,308,2,27,7,812,734,698,210,488,72,78,Ars-sur-Formans,82,01,9,1284,0.0886699507,0.2120383037,0.0136798906,0.0068399453,0.0109439124,0.0136798906,0.1149110807,0.0082079343,0.1491108071,0.4213406293,0.0027359781,0.0369357045,0.0095759234,0.0960591133,0.6991404011,0.3008595989,010210001,2
SUD-EST,022,0001,2,Pres2007,801,674,668,nbVoix,Nombre de voix,117,23,13,6,10,106,8,134,230,3,15,3,801,667,630,249,381,127,134,Artemare,82,01,0,1097,0.1585518102,0.1751497006,0.0344311377,0.0194610778,0.0089820359,0.0149700599,0.1586826347,0.0119760479,0.2005988024,0.3443113772,0.004491018,0.0224550898,0.004491018,0.1672908864,0.6047619048,0.3952380952,010220001,5
SUD-EST,023,0001,2,Pres2007,61,52,49,nbVoix,Nombre de voix,7,2,0,1,1,5,4,8,21,0,0,0,61,51,49,14,35,9,10,Asnières-sur-Saône,82,01,6,79,0.1475409836,0.1428571429,0.0408163265,0,0.0204081633,0.0204081633,0.1020408163,0.0816326531,0.1632653061,0.4285714286,0,0,0,0.1639344262,0.7142857143,0.2857142857,010230001,6
SUD-EST,024,0001,2,Pres2007,662,607,594,nbVoix,Nombre de voix,131,18,3,7,7,87,7,103,210,0,13,8,662,593,560,193,367,55,69,Attignat,82,01,7,2662,0.083081571,0.2205387205,0.0303030303,0.0050505051,0.0117845118,0.0117845118,0.1464646465,0.0117845118,0.1734006734,0.3535353535,0,0.0218855219,0.0134680135,0.1042296073,0.6553571429,0.3446428571,010240001,5
SUD-EST,024,0002,2,Pres2007,1073,970,954,nbVoix,Nombre de voix,195,16,15,8,7,116,7,165,373,7,25,20,1073,962,923,317,606,103,111,Attignat,82,01,7,2662,0.0959925443,0.2044025157,0.0167714885,0.0157232704,0.0083857442,0.0073375262,0.1215932914,0.0073375262,0.1729559748,0.3909853249,0.0073375262,0.0262054507,0.0209643606,0.1034482759,0.6565547129,0.3434452871,010240002,6
SUD-EST,025,0001,2,Pres2007,1062,941,924,nbVoix,Nombre de voix,201,19,16,12,13,118,15,206,280,4,26,14,1062,942,907,401,506,121,120,Bâgé-la-Ville,82,01,6,2866,0.1139359699,0.2175324675,0.0205627706,0.0173160173,0.012987013,0.0140692641,0.1277056277,0.0162337662,0.2229437229,0.303030303,0.0043290043,0.0281385281,0.0151515152,0.1129943503,0.5578831312,0.4421168688,010250001,3
SUD-EST,025,0002,2,Pres2007,803,689,681,nbVoix,Nombre de voix,147,16,11,16,13,98,13,150,186,1,19,11,803,675,632,276,356,114,128,Bâgé-la-Ville,82,01,6,2866,0.1419676214,0.2158590308,0.0234948605,0.0161527166,0.0234948605,0.0190895742,0.1439060206,0.0190895742,0.2202643172,0.2731277533,0.0014684288,0.0279001468,0.0161527166,0.1594022416,0.5632911392,0.4367088608,010250002,5
SUD-EST,026,0001,2,Pres2007,555,485,473,nbVoix,Nombre de voix,115,19,3,12,4,38,4,104,154,5,10,5,555,491,464,186,278,70,64,Bâgé-le-Châtel,82,01,6,795,0.1261261261,0.2431289641,0.0401691332,0.0063424947,0.0253699789,0.0084566596,0.0803382664,0.0084566596,0.2198731501,0.3255813953,0.0105708245,0.021141649,0.0105708245,0.1153153153,0.599137931,0.400862069,010260001,3
SUD-EST,027,0001,2,Pres2007,1060,942,932,nbVoix,Nombre de voix,183,32,7,14,12,152,8,157,337,2,15,13,1060,936,898,312,586,118,124,Balan,82,01,9,2362,0.1113207547,0.1963519313,0.0343347639,0.0075107296,0.0150214592,0.0128755365,0.1630901288,0.008583691,0.1684549356,0.3615879828,0.0021459227,0.0160944206,0.0139484979,0.1169811321,0.6525612472,0.3474387528,010270001,5
SUD-EST,028,0001,2,Pres2007,399,355,354,nbVoix,Nombre de voix,57,9,1,0,2,39,8,63,154,2,13,6,400,349,336,116,220,44,51,Baneins,82,01,9,595,0.1102756892,0.1610169492,0.0254237288,0.0028248588,0,0.0056497175,0.1101694915,0.0225988701,0.1779661017,0.4350282486,0.0056497175,0.0367231638,0.0169491525,0.1275,0.6547619048,0.3452380952,010280001,6
SUD-EST,029,0001,2,Pres2007,396,333,328,nbVoix,Nombre de voix,70,11,3,4,3,53,5,62,98,2,10,7,396,334,318,125,193,63,62,Beaupont,82,01,7,560,0.1590909091,0.2134146341,0.0335365854,0.0091463415,0.012195122,0.0091463415,0.1615853659,0.0152439024,0.1890243902,0.2987804878,0.006097561,0.0304878049,0.0213414634,0.1565656566,0.606918239,0.393081761,010290001,5
SUD-EST,030,0001,2,Pres2007,533,448,445,nbVoix,Nombre de voix,92,18,3,6,2,58,1,87,165,1,7,5,533,434,420,153,267,85,99,Beauregard,82,01,9,881,0.1594746717,0.206741573,0.0404494382,0.006741573,0.0134831461,0.004494382,0.1303370787,0.002247191,0.195505618,0.3707865169,0.002247191,0.0157303371,0.0112359551,0.1857410882,0.6357142857,0.3642857143,010300001,2
SUD-EST,031,0001,2,Pres2007,972,832,824,nbVoix,Nombre de voix,131,32,9,18,8,106,3,108,372,0,25,12,973,842,810,233,577,140,131,Bellignat,82,01,5,3464,0.1440329218,0.1589805825,0.0388349515,0.0109223301,0.0218446602,0.0097087379,0.1286407767,0.0036407767,0.1310679612,0.4514563107,0,0.0303398058,0.0145631068,0.134635149,0.712345679,0.287654321,010310001,5
SUD-EST,031,0002,2,Pres2007,949,817,808,nbVoix,Nombre de voix,133,44,10,15,16,104,8,224,225,2,15,12,952,790,749,385,364,132,162,Bellignat,82,01,5,3464,0.1390937829,0.1646039604,0.0544554455,0.0123762376,0.0185643564,0.0198019802,0.1287128713,0.0099009901,0.2772277228,0.2784653465,0.0024752475,0.0185643564,0.0148514851,0.1701680672,0.4859813084,0.5140186916,010310002,4
SUD-EST,032,0001,2,Pres2007,793,711,704,nbVoix,Nombre de voix,122,16,5,9,12,119,2,125,260,2,12,20,793,679,654,216,438,82,114,Béligneux,82,01,9,2883,0.1034047919,0.1732954545,0.0227272727,0.0071022727,0.0127840909,0.0170454545,0.1690340909,0.0028409091,0.1775568182,0.3693181818,0.0028409091,0.0170454545,0.0284090909,0.1437578815,0.6697247706,0.3302752294,010320001,5
SUD-EST,032,0002,2,Pres2007,1139,973,963,nbVoix,Nombre de voix,164,30,8,5,17,173,8,184,336,3,19,16,1139,937,903,320,583,166,202,Béligneux,82,01,9,2883,0.1457418788,0.1703011423,0.031152648,0.0083073728,0.005192108,0.0176531672,0.1796469367,0.0083073728,0.1910695742,0.3489096573,0.0031152648,0.0197300104,0.0166147456,0.1773485514,0.6456256921,0.3543743079,010320002,5
