(step) 17 lines read from  amd128.dat
(step) 16 lines read from  sastmp01.srt
(step) 18 lines read from  sastmp01.srt.mns
(step) 36 lines read from  sastmp01.srt.mns
(step) 78 lines read from  sastmp01.srt.mns.con
(step) 78 lines read from  sastmp01.srt.mns.con
(step) 32 lines read from  sastmp01.srt.mns.tst
(step) 8 lines read from  sastmp01.srt.mns.tst.lsm.srt
(step) 78 lines read from  sastmp01.srt.mns.con
(step) 38 lines read from  sastmp01.srt.mns.tst
(step) 21 lines read from  sastmp01.srt.mns.tst.lsm.srt
(step) 78 lines read from  sastmp01.srt.mns.con
