rep	time	current	number	y
t	t	t	t	x
1	1	1	1	72
1	1	1	2	74
1	1	1	3	69
1	1	2	1	61
1	1	2	2	61
1	1	2	3	65
1	1	3	1	62
1	1	3	2	65
1	1	3	3	70
1	1	4	1	85
1	1	4	2	76
1	1	4	3	61
1	2	1	1	67
1	2	1	2	52
1	2	1	3	62
1	2	2	1	60
1	2	2	2	55
1	2	2	3	59
1	2	3	1	64
1	2	3	2	65
1	2	3	3	64
1	2	4	1	67
1	2	4	2	72
1	2	4	3	60
1	3	1	1	57
1	3	1	2	66
1	3	1	3	72
1	3	2	1	72
1	3	2	2	43
1	3	2	3	43
1	3	3	1	63
1	3	3	2	66
1	3	3	3	72
1	3	4	1	56
1	3	4	2	75
1	3	4	3	92
1	4	1	1	57
1	4	1	2	56
1	4	1	3	78
1	4	2	1	60
1	4	2	2	63
1	4	2	3	58
1	4	3	1	61
1	4	3	2	79
1	4	3	3	68
1	4	4	1	73
1	4	4	2	86
1	4	4	3	71
2	1	1	1	46
2	1	1	2	74
2	1	1	3	58
2	1	2	1	60
2	1	2	2	64
2	1	2	3	52
2	1	3	1	71
2	1	3	2	64
2	1	3	3	71
2	1	4	1	53
2	1	4	2	65
2	1	4	3	66
2	2	1	1	44
2	2	1	2	58
2	2	1	3	54
2	2	2	1	57
2	2	2	2	55
2	2	2	3	51
2	2	3	1	62
2	2	3	2	61
2	2	3	3	79
2	2	4	1	60
2	2	4	2	78
2	2	4	3	82
2	3	1	1	53
2	3	1	2	50
2	3	1	3	61
2	3	2	1	56
2	3	2	2	57
2	3	2	3	56
2	3	3	1	56
2	3	3	2	56
2	3	3	3	71
2	3	4	1	56
2	3	4	2	58
2	3	4	3	69
2	4	1	1	46
2	4	1	2	55
2	4	1	3	64
2	4	2	1	56
2	4	2	2	55
2	4	2	3	57
2	4	3	1	64
2	4	3	2	66
2	4	3	3	62
2	4	4	1	59
2	4	4	2	58
2	4	4	3	88
